,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,Location
49,"RT @mackillah: wearing Altern 8 N95 neon respirator mask during haze weather @WeAreAltern8
Full On.. Mask Hysteria‼️⁉️‼️ ✊😷 #rave #jerebu #…",0,6,2019-09-24 06:42:53,mark archer,5400,Midlands. UK.
50,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 06:18:27,Rai Nila Utama,44497,Where Jigglypuff is not furry
51,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 05:00:21,Alifah Zainuddin,1052,
52,"RT @bloomyourskin: Hi peeps! How are you today? Musim musim jerebu ni, make sure you stay indoor and stay hydrated.

Make sure your skin is…",0,1,2019-09-24 04:58:13,"jual Kayman, Jelita KL, DoM, Nature's Palette",13647,MY
53,"Hi peeps! How are you today? Musim musim jerebu ni, make sure you stay indoor and stay hydrated.

Make sure your sk… https://t.co/1mI2ZSjOWn",0,1,2019-09-24 04:57:13,"Kayman, Jelita KL, Nature's Palette, DoM",50,Malaysia
54,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 04:36:10,Moon Wolf,557,
55,"Haze Today vs Last Week
So much improvement 😍😍
#hazemalaysia 
#Jerebu https://t.co/I1EVicl2mP",0,0,2019-09-24 04:23:51,BlueSkyComeBack🏝️🏝️,18904,1729
56,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 04:09:14,Annissa ✨,44806,54200
57,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 03:51:47,Riza Tan,1010,Kuala Lumpur City
58,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 03:42:46,abbasbasili,679,"Kuala Lumpur Federal Territory, Malaysia"
59,"Other factors may contribute to the problem.

#haze #jerebu #PalmOil

https://t.co/DTUMUTOpYB",0,0,2019-09-24 03:30:00,The Rakyat Post,269,Malaysia
60,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 03:18:51,Harith Zuharman,30069,
61,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 03:05:57,bby z,38851,
